,Lot Number,Product,Date,Shop Order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1159,19D17063,8985,20190828,188177,770421.092,RM093,FS10003221,R1644A,PT00062563,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1160,19D17163,8997PG2,20190730,188179,7020.000,RM160,FS10003742,RM054,PT00065936,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1161,19D17263,V8980,20190717,188180,9360.000,RM093,FS10003256,RM054,PT00065936,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1162,19D17363X,8881907102,20190514,188193,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1163,19D17463X,8881907102,20190821,188194,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1164,19D17563X,8881907102,20190626,188195,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1165,19D17663X,8881907102,20190626,188196,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1166,19D17763X,8881907102,20190626,188197,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1167,19D17863,31180378,20190515,188198,1080.000,RM160,FS10006143,RM112,PT00062563,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1168,19D18063,8506Y,20190722,188199,95299.757,RM106,FS10003085,CL63R1776,RM260,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1169,19D18163,8938Y,20190611,188200,0,RM093,FS10003187,R1690,PT00062563,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1170,19D18363X,8881112059,20190417,188202,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1171,19D18463X,8881112059,20190419,188203,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1172,19D18563X,8881112059,20190424,188204,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1173,19D18663X,8881112059,20190424,188205,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1174,19D187358,R7515P,20190605,187358,0,RM176,FS10003701,,PT00065942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1175,19D18763X,5551761207,20190415,188206,0,,FS10013527,EXP6001,,,,,,,,,,,,,,,,,,,,,4101801,,,,,,,,,,,,Syringe
1176,19D187928,R7515BL,20190422,187928,332698.679,RM157,FS10002913,,PT00065943,,,R4226A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1177,19D187947,R7046N,20190410,187947,49886.803,RM004,FS10002847,,,,,,,,CL63R98334A,,,,,,,,,,,,,R4415,,,,,,,,,,,,,VS not found
1178,19D187948,R7417,20190403,187948,0,RM020,FS10002875,,PT00065942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1179,19D187949,WP7417,20190411,187949,2585.000,,FS10002947,R98028,,,X9894,,X9899,,,,WP7478,,,R7417,,,,WP7477,,,,,,,,,,,,,,,,,Containers
1180,19D187962,WP8985,20190423,187962,264125.814,RM020,DC00030201,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1181,19D187966,PT00013694,20190724,187966,15157.000,,DC00017294,,,,,,,,,,PT00016495,,,,,,,,,,,,,,,,,,,,,,,,Containers
1183,19D187974,WP7449,20190401,187974,830.000,RM160,FS10002950,R98028,PT00065942,,X9894,,X9899,,,,WP7478,,,PT00012284,,,,WP7477,,,,,,,,,,,,,,,,,Containers
