,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
5757,21B195839,WP8935,2021-04-20,2021-07-05,195839,0,RM129,FS10002982,RM054,PT00065936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5758,21B195840,WP8935,2021-08-24,2021-08-25,195840,0,RM129,FS10002982,RM054,PT00065936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5759,21B195843,WP7483,2021-04-21,2021-07-05,195843,146578.214,RM093,FS10002955,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5760,21B195844,WP7478,2021-05-10,2021-05-10,195844,21654.571,RM036,FS10002954,,RM018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5761,21B195845,WP7477,2021-05-18,2021-05-19,195845,0,RM171,FS10027264,,,,,,,,CL63R3908,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5762,21B195851,R7067,2021-03-24,2021-08-25,195851,32127.576,RM093,FS10002851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5763,21B195852,R7068,2021-04-20,2021-07-05,195852,31281.339,RM129,FS10002854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5764,21B195887,PT00075579,2021-07-09,2021-09-25,195887,5740.000,RM129,FS10006132,CL63R1783,,,,,X98142,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5765,21B195889,WP7449,2021-04-02,2021-07-05,195889,19010.000,RM093,FS10002950,R98028,PT00065942,,X9894,,X9899,,,,WP7478,,,PT00012284,,,,WP7477,,,,,,,,,,,,,,,,,Containers
5766,21B195890,WP7449,2021-05-12,2021-08-25,195890,25485.000,RM093,FS10002950,R98028,PT00065942,,X9894,,X9899,,,,WP7478,,,PT00012284,,,,WP7477,,,,,,,,,,,,,,,,,Containers
